Elapsed_Seconds,Temp_C,Freq_MHz,Mem_Used_MB,Throttle_Flag
500.8381,83.15,2256.0,1831.7,1
501.0378,83.70,2201.0,1831.7,1
501.2451,84.80,1500.0,1831.9,1
501.4393,84.25,2146.0,1831.9,1
501.6434,83.70,2201.0,1831.9,1
501.8424,83.70,2201.0,1832.4,1
502.0390,83.70,2201.0,1832.4,1
502.2411,83.15,2256.0,1832.1,1
502.4471,83.70,2256.0,1831.7,1
502.6415,83.70,2201.0,1831.7,1
502.8495,84.80,1500.0,1831.7,1
503.0428,84.25,2146.0,1831.7,1
503.2484,83.15,2256.0,1831.7,1
503.4400,82.60,2311.0,1831.8,1
503.6435,83.70,2201.0,1831.8,1
503.8430,83.15,2256.0,1832.1,1
504.0481,83.70,2201.0,1832.1,1
504.2441,84.25,2146.0,1832.1,1
504.4460,83.70,2201.0,1832.4,1
504.6470,84.25,2146.0,1832.6,1
504.8474,83.15,2256.0,1832.6,1
505.0469,83.70,2201.0,1832.6,1
505.2475,83.15,2256.0,1832.6,1
505.4502,81.50,2311.0,1830.7,1
505.6473,83.15,2201.0,1831.0,1
505.8439,83.70,2201.0,1831.0,1
506.0439,84.25,2146.0,1831.0,1
506.2465,82.05,2366.0,1831.0,1
506.4658,83.15,2146.0,1831.4,1
506.6514,84.80,1500.0,1831.2,1
506.8463,83.15,2256.0,1831.4,1
507.0514,83.15,2256.0,1831.4,1
507.2461,83.70,2201.0,1831.4,1
507.4541,83.70,2201.0,1831.2,1
507.6581,83.70,2201.0,1831.2,1
507.8583,83.70,1500.0,1831.2,1
508.0496,83.15,2256.0,1831.2,1
508.2504,84.25,2201.0,1831.2,1
508.4599,84.25,2146.0,1831.2,1
508.6523,83.70,2201.0,1831.2,1
508.8514,83.15,2256.0,1831.2,1
509.0518,83.70,2256.0,1831.2,1
509.2536,83.70,2201.0,1831.4,1
509.4621,83.70,2201.0,1831.0,1
509.6540,83.15,2256.0,1831.0,1
509.8557,84.25,2146.0,1831.2,1
510.0587,84.80,2201.0,1831.4,1
510.2588,83.70,2201.0,1831.3,1
510.4624,83.15,2256.0,1831.1,1
510.6548,84.25,2146.0,1831.1,1
510.8586,83.70,2146.0,1831.3,1
511.0632,83.70,2201.0,1831.3,1
511.2657,83.70,2201.0,1831.7,1
511.4710,83.70,2201.0,1831.1,1
511.6581,84.25,2146.0,1831.1,1
511.8672,82.60,2311.0,1831.1,1
512.0634,83.70,2201.0,1831.3,1
512.2631,83.70,2201.0,1831.3,1
512.4634,84.25,2146.0,1831.3,1
512.6630,83.15,2256.0,1831.1,1
512.8639,83.70,2256.0,1831.1,1
513.0604,83.70,2400.0,1831.1,1
513.2597,83.70,2201.0,1831.3,1
513.4657,83.70,2201.0,1830.8,1
513.6601,84.25,2146.0,1830.8,1
513.8671,83.70,2201.0,1830.8,1
514.0632,83.15,2201.0,1831.1,1
514.2601,83.70,2201.0,1830.8,1
514.4599,82.60,2311.0,1830.8,1
514.6603,84.80,1500.0,1830.8,1
514.8688,83.70,2256.0,1831.1,1
515.0606,82.60,2311.0,1831.1,1
515.2680,83.15,2256.0,1831.1,1
515.4690,84.25,2146.0,1830.8,1
515.6715,84.80,1500.0,1831.1,1
515.8662,82.60,2201.0,1831.1,1
516.0639,82.05,2366.0,1830.8,1
516.2714,83.70,2201.0,1831.2,1
516.4690,83.15,2146.0,1830.6,1
516.6690,84.25,2311.0,1830.6,1
516.8648,83.70,2201.0,1830.6,1
517.0600,84.25,2146.0,1831.0,1
517.2694,82.60,2311.0,1831.0,1
517.4643,83.70,2201.0,1830.6,1
517.6628,84.25,2146.0,1830.6,1
517.8708,83.70,2201.0,1830.6,1
518.0617,84.25,2146.0,1830.8,1
518.2753,82.05,2256.0,1830.6,1
518.4667,83.15,2256.0,1829.9,1
518.6701,83.15,2366.0,1829.9,0
518.8654,83.15,2201.0,1830.1,1
519.0698,83.70,2256.0,1830.1,1
519.2675,83.70,2201.0,1830.1,1
519.4701,83.15,2256.0,1829.9,1
519.6668,82.60,2311.0,1830.2,1
519.8640,82.60,2311.0,1830.2,1
520.0718,83.70,2201.0,1830.5,1
520.2650,83.15,2256.0,1830.5,1
520.4671,83.70,2201.0,1829.9,1
520.6668,83.70,2201.0,1829.9,1
520.8672,83.70,2201.0,1829.9,1
521.0708,84.25,2146.0,1831.3,1
521.2640,83.15,2256.0,1831.3,1
521.4694,83.15,2256.0,1831.0,1
521.6672,83.15,2256.0,1830.8,1
521.8672,83.15,2256.0,1830.8,1
522.0717,84.80,1500.0,1830.8,1
522.2655,82.60,2311.0,1830.8,1
522.4752,82.60,2311.0,1830.6,1
522.6715,83.70,2201.0,1830.3,1
522.8732,83.70,2201.0,1830.3,1
523.0671,84.25,2146.0,1830.1,1
523.2670,83.70,2256.0,1830.1,1
523.4754,82.60,2311.0,1832.4,1
523.6670,83.70,2201.0,1832.8,1
523.8733,83.70,2201.0,1832.8,1
524.0701,82.60,2311.0,1832.8,1
524.2743,84.80,1500.0,1832.8,1
524.4711,83.70,2201.0,1831.9,1
524.6665,82.60,2311.0,1831.9,1
524.8711,82.60,2311.0,1831.9,1
525.0664,83.15,2256.0,1831.8,1
525.2694,82.60,2311.0,1831.8,1
525.4681,83.15,2256.0,1831.6,1
525.6743,84.80,2201.0,1831.4,1
525.8709,83.15,2256.0,1831.4,1
526.0742,84.80,1500.0,1831.4,1
526.2712,83.70,2201.0,1831.4,1
526.4665,83.15,2256.0,1833.2,1
526.6715,83.70,2201.0,1833.2,1
526.8706,83.70,2201.0,1833.0,1
527.0729,82.60,2311.0,1833.0,1
527.2713,84.25,2146.0,1833.0,1
527.4707,84.80,1500.0,1833.0,1
527.6709,83.70,2201.0,1833.2,1
527.8754,83.70,2201.0,1833.2,1
528.0760,83.70,2201.0,1833.8,1
528.2690,83.70,2201.0,1833.8,1
528.4752,83.15,2256.0,1832.2,1
